wavelength,flux,error
1195.0,0.008861500769853592,0.0003544600331224501
1205.0,0.0694499984383583,0.0027779999654740095
1215.0,0.6080998778343201,0.024323994293808937
1225.0,0.1437000036239624,0.005747999995946884
1235.0,0.006269500125199556,0.0002507799945306033
1245.0,0.0040755001828074455,0.00016301999858114868
1255.0,0.003378000110387802,0.00013512000441551208
1265.0,0.004162500146776438,0.00016650000179652125
1275.0,0.00241499999538064,9.660000068834051e-05
1285.0,0.0019545000977814198,7.81800044933334e-05
1295.0,0.004668000154197216,0.00018672000442165881
1305.0,0.013810000382363796,0.0005524000152945518
1315.0,0.004480999894440174,0.000179239985300228
1325.0,0.004649499896913767,0.00018597999587655067
1335.0,0.019305000081658363,0.0007722000009380281
1345.0,0.00506300013512373,0.000202519993763417
1355.0,0.004196499940007925,0.00016785999468993396
1365.0,0.0034324999433010817,0.00013729999773204327
1375.0,0.0032259998843073845,0.000129039995954372
1385.0,0.004494499880820513,0.00017977999232243747
1395.0,0.00889899954199791,0.00035595998633652925
1405.0,0.006819500122219324,0.0002727799874264747
1415.0,0.004612499848008156,0.00018449999333824962
1425.0,0.005121000111103058,0.00020484000560827553
1435.0,0.005578999873250723,0.0002231599937658757
1445.0,0.005570500157773495,0.00022282000281848013
1455.0,0.006039499770849943,0.0002415799826849252
1465.0,0.00769349979236722,0.0003077399742323905
1475.0,0.00919449981302023,0.00036777998320758343
1485.0,0.008851000107824802,0.00035404000664129853
1495.0,0.00861700065433979,0.0003446800110395998
1505.0,0.009397000074386597,0.0003758799866773188
1515.0,0.010006500408053398,0.0004002600035164505
1525.0,0.012684999965131283,0.0005073999636806548
1535.0,0.01412499975413084,0.0005649999948218465
1545.0,0.022624999284744263,0.0009049999644048512
1555.0,0.023435000330209732,0.0009373999782837927
1565.0,0.019819999113678932,0.0007927999249659479
1575.0,0.018434999510645866,0.0007373999687843025
1585.0,0.017945000901818275,0.0007177999941632152
1595.0,0.018710000440478325,0.0007483999943360686
1605.0,0.02070000022649765,0.0008280000183731318
1615.0,0.02381500042974949,0.0009525999776087701
1625.0,0.02703000046312809,0.001081199967302382
1635.0,0.03087499924004078,0.001234999974258244
1645.0,0.032145000994205475,0.0012858000118285418
1655.0,0.046160001307725906,0.0018463999731466174
1665.0,0.042739998549222946,0.001709599862806499
1675.0,0.04141499847173691,0.0016565999248996377
1685.0,0.0484049990773201,0.001936199958436191
1695.0,0.06238999962806702,0.0024955999106168747
1705.0,0.07017499953508377,0.0028069999534636736
1715.0,0.07330500334501266,0.002932199975475669
1725.0,0.07720000296831131,0.0030879999976605177
1735.0,0.0812549963593483,0.0032501998357474804
1745.0,0.09635499864816666,0.003854199778288603
1755.0,0.11469999700784683,0.004587999545037746
1765.0,0.1298999935388565,0.005195999518036842
1775.0,0.14970000088214874,0.005987999960780144
1785.0,0.16459999978542328,0.006583999842405319
1795.0,0.16850000619888306,0.00674000009894371
1805.0,0.1960500031709671,0.007841999642550945
1815.0,0.23989999294281006,0.009595999494194984
1825.0,0.23964999616146088,0.009585999883711338
1835.0,0.23919999599456787,0.00956799928098917
1845.0,0.21934999525547028,0.00877399928867817
1855.0,0.24535000324249268,0.009813999757170677
1865.0,0.28700000047683716,0.011479999870061874
1875.0,0.3197999894618988,0.012791999615728855
1885.0,0.3494499921798706,0.013977999798953533
1895.0,0.3793500065803528,0.015173999592661858
1905.0,0.39925000071525574,0.015969999134540558
1915.0,0.4422000050544739,0.017688000574707985
1925.0,0.4377500116825104,0.017510000616312027
1935.0,0.4032000005245209,0.016127999871969223
1945.0,0.5530999898910522,0.022123999893665314
1955.0,0.5768499970436096,0.02307399921119213
1965.0,0.6370499730110168,0.025481998920440674
1975.0,0.6571499705314636,0.02628599852323532
1985.0,0.6555500030517578,0.026221999898552895
1995.0,0.7052000164985657,0.02820800058543682
2005.6490478515625,0.7756500244140625,0.031026000156998634
2015.6507568359375,0.8497499823570251,0.03398999944329262
2025.652587890625,0.8730999827384949,0.03492399677634239
2035.6544189453125,0.9743000268936157,0.038972001522779465
2045.65625,1.0835000276565552,0.04334000125527382
2055.657958984375,1.1160000562667847,0.04464000090956688
2065.659912109375,1.1720000505447388,0.046879999339580536
2075.661865234375,1.340999960899353,0.05363999679684639
2085.663818359375,1.5850000381469727,0.06340000033378601
2095.665771484375,2.2330000400543213,0.08931999653577805
2105.667724609375,2.9165000915527344,0.11665999889373779
2115.669677734375,3.500999927520752,0.14003999531269073
2125.671630859375,3.2704999446868896,0.13081999123096466
2135.673583984375,3.446500062942505,0.1378600001335144
2145.675537109375,4.172500133514404,0.16690000891685486
2155.677734375,3.7715001106262207,0.150859996676445
2165.6796875,3.3635001182556152,0.13454000651836395
2175.681640625,3.6665000915527344,0.1466600000858307
2185.683837890625,4.621500015258789,0.1848599910736084
2195.685791015625,4.888999938964844,0.19555999338626862
2205.68798828125,4.933000087738037,0.19731999933719635
2215.68994140625,4.119500160217285,0.16478000581264496
2225.692138671875,5.15700101852417,0.20628003776073456
2235.6943359375,6.540500164031982,0.26162001490592957
2245.696533203125,6.125500202178955,0.24502000212669373
2255.698486328125,5.445000171661377,0.21780000627040863
2265.70068359375,4.110000133514404,0.16439999639987946
2275.702880859375,4.133999824523926,0.1653599888086319
2285.705078125,5.396500110626221,0.21585999429225922
2295.707275390625,4.954999923706055,0.19819998741149902
2305.70947265625,5.415999889373779,0.21663999557495117
2315.711669921875,5.295499801635742,0.21181999146938324
2325.7138671875,5.527500152587891,0.22110000252723694
2335.716064453125,4.66349983215332,0.18653999269008636
2345.71826171875,4.055500030517578,0.16222000122070312
2355.720458984375,5.335000038146973,0.2133999913930893
2365.72265625,5.054999828338623,0.2021999955177307
2375.72509765625,5.040999889373779,0.20163999497890472
2385.727294921875,4.361000061035156,0.17443999648094177
2395.7294921875,4.593999862670898,0.18375998735427856
2405.731689453125,4.109499931335449,0.1643799990415573
2415.734130859375,5.326499938964844,0.21305999159812927
2425.736328125,7.32450008392334,0.29297998547554016
2435.738525390625,6.9054999351501465,0.2762199938297272
2445.740966796875,6.340000152587891,0.25360000133514404
2455.7431640625,5.146500110626221,0.20586000382900238
2465.74560546875,5.244999885559082,0.20979999005794525
2475.747802734375,5.770500183105469,0.23082000017166138
2485.750244140625,4.748499870300293,0.18993999063968658
2495.75244140625,5.859000205993652,0.234360009431839
